Date,Inflation,Unemployment,Misery Index
Mar-21,6,2.62,8.62
Apr-21,6.1,4.16,10.26
May-21,5.8,4.99,10.79
Jun-21,5.9,5.39,11.29
Jul-21,5.4,5.37,10.77
Aug-21,5.2,5.25,10.45
Sep-21,4.8,5.39,10.19
Oct-21,4.6,6.22,10.82
Nov-21,4.2,6.81,11.01
Dec-21,3.9,7.04,10.94
Jan-22,4,7.48,11.48
Feb-22,3.8,7.87,11.67
Mar-22,3.6,8.54,12.14
Apr-22,3.6,8.26,11.86
May-22,3.6,8.58,12.18
Jun-22,3.6,9.06,12.66
